id	name	fips	sector
270	Glendale Community College	6	4
271	Glendale Career College	6	6
272	Golden Gate University-San Francisco	6	2
273	Golden West College	6	4
274	Graduate Theological Union	6	2
275	Grossmont College	6	4
276	Hartnell College	6	4
277	Harvey Mudd College	6	2
278	Heald College-Rancho Cordova	6	6
279	Heald College-Fresno	6	6
280	Heald College-San Jose	6	6
281	Heald College-San Francisco	6	6
282	Heald College-Concord	6	6
283	Holy Names University	6	2
284	Pacifica Graduate Institute	6	3
285	Humboldt State University	6	1
286	Humphreys College-Stockton and Modesto Campuses	6	2
287	Imperial Valley College	6	4
288	Interior Designers Institute	6	3
289	Irvine Valley College	6	4
290	ITT Technical Institute-National City	6	3
291	ITT Technical Institute-San Dimas	6	3
292	ITT Technical Institute-Orange	6	3
293	Bellus Academy-El Cajon	6	6
294	John F. Kennedy University	6	2
295	American Jewish University	6	2
296	Reedley College	6	4
297	Life Pacific College	6	2
298	Argosy University-The Art Institute of California-San Diego	6	3
299	University of La Verne	6	2
300	Laguna College of Art and Design	6	2
301	Lake Tahoe Community College	6	4
302	Laney College	6	4
303	Lassen Community College	6	4
304	Life Chiropractic College West	6	2
305	Lincoln University	6	2
306	Southern California Seminary	6	2
307	La Sierra University	6	2
308	Loma Linda University	6	2
309	Long Beach City College	6	4
310	Southern California University of Health Sciences	6	2
311	Los Angeles Harbor College	6	4
312	Los Angeles Pierce College	6	4
313	Los Angeles Southwest College	6	4
314	Los Angeles Trade Technical College	6	4
315	Los Angeles Valley College	6	4
316	The Master's College and Seminary	6	2
317	Los Angeles City College	6	4
318	Los Angeles County College of Nursing and Allied Health	6	4
319	Los Angeles Mission College	6	4
320	Los Medanos College	6	4
321	Argosy University-The Art Institute of California-San Francisco	6	3
322	Loyola Marymount University	6	2
323	MTI College	6	6
324	Brightwood College-Sacramento	6	6
325	Brightwood College-San Diego	6	6
326	Brightwood College-Vista	6	6
327	College of Marin	6	4
328	Marymount California University	6	2
329	Mendocino College	6	4
330	Menlo College	6	2
331	Merced College	6	4
332	Merritt College	6	4
333	Mills College	6	2
334	MiraCosta College	6	4
335	Mission College	6	4
336	Brightwood College-North Hollywood	6	6
337	Modesto Junior College	6	4
338	Middlebury Institute of International Studies at Monterey	6	2
339	Monterey Peninsula College	6	4
340	Moorpark College	6	4
341	Mt San Antonio College	6	4
342	Mount Saint Mary's University	6	2
343	Mt San Jacinto Community College District	6	4
344	Mueller College	6	6
345	Musicians Institute	6	3
346	Napa Valley College	6	4
347	Everest College-Reseda	6	6
348	Everest College-San Bernardino	6	6
349	The National Hispanic University	6	3
350	National University	6	2
351	Naval Postgraduate School	6	1
352	Newschool of Architecture and Design	6	3
353	North-West College-West Covina	6	6
355	Notre Dame de Namur University	6	2
356	Occidental College	6	2
357	Ohlone College	6	4
358	Orange Coast College	6	4
359	Otis College of Art and Design	6	2
360	Oxnard College	6	4
361	Hope International University	6	2
362	Concorde Career College-San Diego	6	6
363	Palo Alto University	6	2
364	Pacific Lutheran Theological Seminary	6	2
365	Pacific Oaks College	6	2
366	Pacific School of Religion	6	2
367	Pacific States University	6	2
368	Pacific Union College	6	2
369	University of the Pacific	6	2
370	Palo Verde College	6	4
371	Palomar College	6	4
372	Pasadena City College	6	4
373	Pepperdine University	6	2
374	Pitzer College	6	2
375	Platt College-San Diego	6	3
376	Point Loma Nazarene University	6	2
377	Pomona College	6	2
378	Porterville College	6	4
379	Westwood College-South Bay	6	3
380	Santa Ana College	6	4
381	Pardee RAND Graduate School	6	2
382	University of Redlands	6	2
383	College of the Redwoods	6	4
384	Rio Hondo College	6	4
385	Riverside City College	6	4
386	Argosy University-San Francisco Bay Area	6	3
387	Dongguk University-Los Angeles	6	2
388	Rudolf Steiner College	6	2
389	Sacramento City College	6	4
390	Saddleback College	6	4
391	Samuel Merritt University	6	2
392	San Diego City College	6	4
393	Golf Academy of America-Carlsbad	6	6
394	San Diego Mesa College	6	4
395	San Diego Miramar College	6	4
396	San Diego State University	6	1
397	University of San Diego	6	2
398	San Francisco Art Institute	6	2
399	San Francisco Conservatory of Music	6	2
400	San Francisco State University	6	1
401	San Francisco Theological Seminary	6	2
402	University of San Francisco	6	2
403	San Joaquin College of Law	6	2
404	San Joaquin Delta College	6	4
405	San Joaquin Valley College-Visalia	6	6
406	William Jessup University	6	2
407	San Jose City College	6	4
408	San Jose State University	6	1
409	College of San Mateo	6	4
410	Santa Barbara Business College-Bakersfield	6	3
411	Westwood College-Los Angeles	6	3
412	Santa Barbara Business College-Santa Maria	6	3
413	Santa Barbara City College	6	4
414	Santa Clara University	6	2
415	Santa Monica College	6	4
416	Santa Rosa Junior College	6	4
417	Saybrook University	6	2
418	Scripps College	6	2
419	Wyotech-Fremont	6	6
420	College of the Sequoias	6	4
421	Shasta Bible College and Graduate School	6	2
422	Shasta College	6	4
423	Sierra College	6	4
424	Sierra Valley College of Court Reporting	6	6
425	Trinity Law School	6	2
426	Simpson University	6	2
427	College of the Siskiyous	6	4
428	Charles A Jones Career and Education Center	6	4
429	Skyline College	6	4
430	San Bernardino Valley College	6	4
431	Saint Mary's College of California	6	2
432	Solano Community College	6	4
433	Sonoma State University	6	1
434	Pinnacle College	6	6
435	South Baylo University	6	2
436	South Coast College	6	6
437	Vanguard University of Southern California	6	2
438	Concorde Career College-Garden Grove	6	6
439	Southwestern College	6	4
440	St John's Seminary	6	2
441	Starr King School for the Ministry	6	2
442	Marshall B Ketchum University	6	2
443	Southern California Institute of Architecture	6	2
444	University of Southern California	6	2
445	Southwestern Law School	6	2
446	Taft College	6	4
447	Claremont School of Theology	6	2
448	Thomas Aquinas College	6	2
449	Epic Bible College	6	2
450	Concorde Career College-San Bernardino	6	6
451	Concorde Career College-North Hollywood	6	6
452	Ventura College	6	4
453	The Santa Barbara and Ventura Colleges of Law at Ventura	6	2
454	Victor Valley College	6	4
455	Berkeley City College	6	4
456	Walden University	27	3
457	West Hills College-Coalinga	6	4
458	West Los Angeles College	6	4
459	West Valley College	6	4
460	Carrington College-Sacramento	6	6
461	Westminster Theological Seminary in California	6	2
462	Westmont College	6	2
463	Whittier College	6	2
464	Woodbury University	6	2
465	The Wright Institute	6	2
466	Western State College of Law at Argosy University	6	3
467	Thomas Jefferson School of Law	6	2
468	Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary	6	2
469	Yuba College	6	4
470	The Salon Professional Academy-Grand Junction	8	6
471	Adams State University	8	1
472	Aims Community College	8	4
473	Arapahoe Community College	8	4
474	Bel-Rea Institute of Animal Technology	8	6
475	Everest College-Colorado Springs	8	5
476	University of Colorado Denver/Anschutz Medical Campus	8	1
477	University of Colorado Colorado Springs	8	1
478	Redstone College	8	6
479	University of Colorado Boulder	8	1
480	Colorado Christian University	8	2
481	Colorado College	8	2
482	Concorde Career College-Aurora	8	6
483	The Art Institute of Colorado	8	3
484	Colorado Mountain College	8	1
485	Colorado Northwestern Community College	8	4
486	Colorado School of Mines	8	1
487	Colorado School of Trades	8	6
488	Colorado State University-Fort Collins	8	1
489	Colorado Technical University-Colorado Springs	8	3
490	Empire Beauty School-Lakewood	8	6
491	Community College of Aurora	8	4
492	CollegeAmerica-Denver	8	2
493	Prince Institute-Rocky Mountains	8	6
494	Community College of Denver	8	4
495	Lincoln College of Technology-Denver	8	6
496	Denver Seminary	8	2
497	Westwood College-Denver North	8	3
498	University of Denver	8	2
499	Fort Lewis College	8	1
500	Front Range Community College	8	4
501	Glenwood Beauty Academy	8	6
502	Hair Dynamics Education Center	8	6
503	Iliff School of Theology	8	2
504	International Salon and Spa Academy	8	6
505	Lamar Community College	8	4
506	Colorado Mesa University	8	1
507	Metropolitan State University of Denver	8	1
508	Morgan Community College	8	4
509	Naropa University	8	2
510	National American University-Colorado Springs	8	3
511	National American University-Denver	8	3
512	Nazarene Bible College	8	2
513	Northeastern Junior College	8	4
514	University of Northern Colorado	8	1
515	Otero Junior College	8	4
516	Everest College-Thornton	8	5
517	Pikes Peak Community College	8	4
518	IBMC College	8	6
519	Pueblo Community College	8	4
520	Red Rocks Community College	8	4
521	Regis University	8	2
522	Rocky Mountain College of Art and Design	8	3
523	Montessori Education Center of the Rockies	8	2
524	Colorado State University-Pueblo	8	1
525	Pickens Technical College	8	4
526	Intellitec College-Colorado Springs	8	6
527	Intellitec College-Grand Junction	8	6
528	Trinidad State Junior College	8	4
